Year,League,Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
1930,NNL,Birmingham Black Barons,30,23.9,4.81,74,2563,2400,356,682,82,55,29,317,76,,163,,.284,.330,.400,.730,97,961,,0,,,,
1930,NNL,Chicago American Giants,34,28.8,4.35,81,2862,2618,352,694,89,35,15,312,31,,241,,.265,.328,.343,.671,82,898,,3,,,,
1930,NNL,Cuban Stars West,14,23.9,4.38,48,1731,1575,210,372,43,22,21,189,36,,152,,.236,.305,.331,.636,72,522,,4,,,,
1930,NNL,Detroit Stars,19,27.4,5.18,72,2557,2364,373,640,103,57,25,339,61,,193,,.271,.326,.394,.720,94,932,,0,,,,
1930,NNL,Kansas City Monarchs,18,28.2,5.78,67,2524,2285,387,644,120,38,23,339,75,,235,,.282,.350,.398,.748,102,909,,4,,,,
1930,NNL,Louisville Black Caps,21,22.0,3.74,23,816,756,86,172,24,11,6,71,9,,58,,.228,.284,.312,.596,61,236,,2,,,,
1930,NNL,Memphis Red Sox,36,25.5,4.77,71,2555,2387,339,664,107,39,13,309,42,,167,,.278,.326,.372,.698,88,888,,1,,,,
1930,NNL,Nashville Elite Giants,30,22.8,4.02,46,1617,1511,185,384,56,25,13,172,21,,106,,.254,.303,.350,.653,76,529,,0,,,,
1930,NNL,St. Louis Stars,19,28.1,7.83,93,3611,3256,728,1045,161,49,76,665,82,,345,,.321,.388,.471,.858,131,1532,,10,,,,
1925,NNL,Indianapolis ABCs,35,22.7,4.58,57,2072,1919,261,482,59,28,21,242,37,,153,222,.251,.306,.344,.650,74,660,,,,,,
1925,NNL,Birmingham Black Barons,31,26.8,4.95,76,2805,2647,376,710,92,42,33,353,61,,158,265,.268,.309,.372,.682,82,985,,,,,,
1925,NNL,Chicago American Giants,31,28.8,4.45,89,3120,2834,396,683,99,31,20,353,59,,286,292,.241,.311,.319,.630,70,904,,,,,,
