Year League,Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500,ExInn,Ties
1910 AL,1,Philadelphia Athletics,102,48,0.68,--,,4.3,2.9,1.5,-0.2,1.3,103-47,-1.0,57-19,45-29,23-19,81-37,21-11,43-22,59-26,,
1910 AL,2,New York Highlanders,88,63,0.583,14.5,14.5,4.0,3.6,0.4,-0.1,0.4,84-67,4.0,49-25,39-38,30-20,78-55,10-8,31-34,57-29,,
1910 AL,3,Detroit Tigers,86,68,0.558,18.0,21.5,4.4,3.8,0.6,-0.1,0.5,88-66,-2.0,46-31,40-37,19-17,52-36,34-32,32-34,54-34,,
1910 AL,4,Boston Red Sox,81,72,0.529,22.5,35.0,4.1,3.6,0.5,-0.1,0.4,85-68,-4.0,51-28,30-44,25-27,56-51,25-21,25-41,56-31,,
1910 AL,5,Cleveland Naps,71,81,0.467,32.0,73.0,3.4,4.1,-0.7,0.1,-0.6,63-89,8.0,39-36,32-45,29-22,64-74,7-7,32-54,39-27,,
1910 AL,6,Chicago White Sox,68,85,0.444,35.5,90.5,2.9,3.1,-0.1,0.0,-0.1,73-80,-5.0,41-37,27-48,23-33,51-76,17-9,37-50,31-35,,
1910 AL,7,Washington Nationals,66,85,0.437,36.5,96.5,3.2,3.5,-0.3,0.0,-0.3,69-82,-3.0,38-35,28-50,23-30,49-63,17-22,27-58,39-27,,
1910 AL,8,St. Louis Browns,47,107,0.305,57.0,240.0,2.9,4.7,-1.8,0.2,-1.6,44-110,3.0,26-51,21-56,22-26,31-83,16-24,24-64,23-43,,
1885 NL,1,Chicago White Stockings,87,25,0.777,,,7.4,4.2,3.2,-0.4,2.8,83-29,4.0,42-14,45-11,10-9,78-22,8-3,17-15,70-10,,
1885 NL,2,St. Louis Browns,79,33,0.705,,,6.0,4.1,1.9,-0.3,1.7,75-37,4.0,44-11,35-22,18-6,59-21,11-6,20-12,59-21,,
1885 NL,3,New York Giants,85,27,0.759,,,6.2,3.3,2.9,-0.4,2.5,85-27,0.0,51-10,34-17,22-8,74-24,9-3,21-11,64-16,,
1885 NL,4,Cincinnati,63,49,0.562,,,5.7,5.1,0.6,-0.1,0.5,62-50,1.0,35-21,28-28,20-13,48-39,8-7,15-17,48-32,,
1885 NL,5,Philadelphia,56,54,0.509,,,4.6,4.6,0.0,0.0,0.0,55-55,1.0,29-26,27-28,13-12,47-50,7-4,10-22,46-32,,
1885 NL,6,Allegheny City,56,55,0.505,,,4.9,4.9,0.1,0.0,0.1,56-55,0.0,37-20,19-35,16-15,40-45,4-2,13-19,43-36,,
1885 NL,7,Philadelphia Athletics,55,57,0.491,,,6.8,6.1,0.6,-0.1,0.5,61-51,-6.0,33-23,22-34,10-15,34-41,8-4,21-27,34-30,,
1885 NL,8,Providence Grays,53,57,0.482,,,4.0,4.8,-0.8,0.1,-0.7,46-64,7.0,31-20,22-37,16-12,51-55,2-2,16-31,37-26,,
1885 NL,9,Brooklyn,53,59,0.473,,,5.6,5.8,-0.2,0.0,-0.2,54-58,-1.0,35-22,18-37,10-12,36-41,11-9,15-33,38-26,,
1885 NL,10,Boston,46,66,0.411,,,4.7,5.2,-0.5,0.1,-0.5,50-62,-4.0,24-34,22-32,11-20,37-60,8-6,12-36,34-30,,
1885 NL,11,Louisville Colonels,53,59,0.473,,,5.0,5.3,-0.3,0.0,-0.3,53-59,0.0,37-19,16-40,10-16,43-48,3-8,21-27,32-32,,
1885 NL,12,Detroit Wolverines,41,67,0.38,,,4.8,5.4,-0.6,0.1,-0.5,48-60,-7.0,29-23,12-44,10-17,37-64,4-3,12-36,29-31,,
1885 NL,13,New York Metropolitans,44,64,0.407,,,4.9,6.4,-1.5,0.2,-1.3,41-67,3.0,28-24,16-40,11-10,28-52,7-7,18-29,26-35,,
1885 NL,14,Buffalo Bisons,38,74,0.339,,,4.4,6.8,-2.4,0.3,-2.1,35-77,3.0,19-34,19-40,10-7,32-64,4-10,6-42,32-32,,
1885 NL,15,Baltimore Orioles,41,68,0.376,,,4.9,6.2,-1.3,0.2,-1.1,43-66,-2.0,29-26,12-42,9-17,27-48,4-10,14-34,27-34,,
1885 NL,16,St. Louis Maroons,36,72,0.333,,,3.5,5.3,-1.8,0.3,-1.6,34-74,2.0,23-33,13-39,8-15,32-64,3-8,12-35,24-37,,
1890 PL_Season,1,Boston Reds,81,48,0.628,--,,7.8,5.9,1.9,-0.3,1.5,81-48,0.0,48-21,33-27,17-8,69-41,8-6,45-29,36-19,,
