Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,≥.500,<.500
1,Louisville Colonels,88,44,.667,6.1,4.4,1.7,-0.3,1.5,85-47,3,57-13,31-31,19-7,53-20,25-16,42-33,46-11
2,Brooklyn Bridegrooms,86,43,.667,6.9,4.8,2.0,-0.3,1.7,85-44,1,58-16,28-27,14-4,69-40,17-3,41-30,45-13
3,Boston Reds,81,48,.628,7.8,5.9,1.9,-0.3,1.5,81-48,0,48-21,33-27,17-8,69-41,8-6,45-29,36-19
4,Chicago Colts,83,53,.610,6.1,5.0,1.1,-0.1,1.0,80-56,3,48-24,35-29,20-10,71-47,12-5,40-37,43-16
5,Columbus Solons,79,55,.590,5.9,4.4,1.5,-0.2,1.4,85-49,-6,47-22,32-33,11-16,50-37,18-18,45-32,34-23
6,Brooklyn Ward's Wonders,76,56,.576,7.2,6.7,0.5,-0.1,0.4,71-61,5,46-19,30-37,20-15,58-39,12-15,38-36,38-20
7,Philadelphia Phillies,78,53,.595,6.2,5.3,0.9,-0.1,0.8,75-56,3,54-21,24-32,17-9,59-48,17-5,36-40,42-13
8,St. Louis Browns,77,58,.570,6.3,5.3,1.0,-0.1,0.8,78-57,-1,44-25,33-33,15-11,50-33,16-14,40-36,37-22
9,New York Giants,74,57,.565,7.7,6.6,1.1,-0.2,0.9,75-56,-1,47-19,27-38,13-13,60-41,14-13,32-40,42-17
10,Cincinnati Reds,77,55,.583,5.6,4.7,0.9,-0.1,0.8,76-56,1,50-23,27-32,10-11,57-48,17-7,34-41,43-14
11,Chicago White Stockings,75,62,.547,6.4,5.6,0.8,-0.1,0.7,77-60,-2,46-23,29-39,13-18,61-54,12-8,36-41,39-21
12,Toledo Maumees,68,64,.515,5.5,5.1,0.4,-0.1,0.3,70-62,-2,40-27,28-37,17-21,41-42,16-14,31-42,37-22
13,Boston,76,57,.571,5.7,4.4,1.3,-0.2,1.1,82-51,-6,43-23,33-34,21-17,59-53,17-4,36-39,40-18
14,Philadelphia Athletics,68,63,.519,7.1,6.5,0.7,-0.1,0.5,71-60,-3,35-30,33-33,10-19,53-49,13-13,34-39,34-24
15,Rochester Broncos,63,63,.500,5.3,5.3,0.0,0.0,0.0,63-63,0,40-22,23-41,12-14,34-48,22-12,29-44,34-19
16,New York Giants,63,68,.481,5.3,5.2,0.1,-0.1,0.0,67-64,-4,37-27,26-41,11-21,49-60,14-8,34-59,29-9
17,Pittsburgh Burghers,60,68,.469,6.5,7.1,-0.6,0.1,-0.4,59-69,1,37-28,23-40,11-10,42-55,15-13,38-56,22-12
18,Baltimore Orioles,15,19,.441,4.8,5.1,-0.3,0.4,0.1,16-18,-1,8-11,7-8,2-5,4-12,5-3,12-15,3-4
19,Syracuse Stars,55,72,.433,5.5,6.5,-1.0,0.1,-1.0,53-74,2,30-30,25-42,19-16,29-43,15-21,34-56,21-16
20,Cleveland Infants,55,75,.423,6.5,7.8,-1.4,0.3,-1.1,54-76,1,31-30,24-45,17-14,41-58,11-12,39-59,16-16
21,Cleveland Spiders,44,88,.333,4.6,6.1,-1.5,0.2,-1.3,50-82,-6,30-37,14-51,9-21,38-79,5-9,26-70,18-18
22,Philadelphia Athletics,54,78,.409,5.3,7.2,-1.8,0.3,-1.6,48-84,6,36-36,18-42,13-16,33-51,14-22,32-67,22-11
23,Buffalo Bisons,36,96,.273,5.9,8.9,-3.0,0.4,-2.6,42-90,-6,23-42,13-54,5-9,18-59,14-34,24-74,12-22
24,Allegheny City,23,113,.169,4.3,8.9,-4.6,0.6,-4.0,28-108,-5,14-25,9-88,4-13,18-101,5-12,14-84,9-29
25,Brooklyn Gladiators,26,73,.263,4.9,7.3,-2.4,0.2,-2.2,32-67,-6,15-22,11-50,12-14,14-49,9-14,19-50,7-22
